種類名,駅グループ名,駅グループ事業者,駅グループ路線名,駅グループ路線区別名,駅グループ路線正式区間,駅グループ路線運行系統,駅グループの路線ごとの並び順,駅名,駅名(正式)[id],駅の路線の事業者[id],駅の路線[id],駅の路線区別名[id],駅の路線の事業者[id],路線名(運行系統)[id],路線区別名(運行系統)[id],路線[正式区間][id],路線[運行系統][id],ナンバリング接頭辞,路線記号,ナンバリングハイフン,駅番号,路線(運行系統)ごとの並び順,駅カラー
駅,,,,,,,,銚子口,銚子口,北海道旅客鉄道株式会社,函館本線,砂原支線,北海道旅客鉄道株式会社,函館本線,砂原支線,1,1,,N,,69,4,#0068B7
駅,,,,,,,,鹿部,鹿部,北海道旅客鉄道株式会社,函館本線,砂原支線,北海道旅客鉄道株式会社,函館本線,砂原支線,1,1,,N,,68,5,#0068B7
駅,,,,,,,,渡島沼尻,渡島沼尻,北海道旅客鉄道株式会社,函館本線,砂原支線,北海道旅客鉄道株式会社,函館本線,砂原支線,1,1,,N,,67,6,#0068B7
駅,,,,,,,,渡島砂原,渡島砂原,北海道旅客鉄道株式会社,函館本線,砂原支線,北海道旅客鉄道株式会社,函館本線,砂原支線,1,1,,N,,66,7,#0068B7
駅,,,,,,,,掛澗,掛澗,北海道旅客鉄道株式会社,函館本線,砂原支線,北海道旅客鉄道株式会社,函館本線,砂原支線,1,1,,N,,65,8,#0068B7
駅,,,,,,,,尾白内,尾白内,北海道旅客鉄道株式会社,函館本線,砂原支線,北海道旅客鉄道株式会社,函館本線,砂原支線,1,1,,N,,64,9,#0068B7
駅,,,,,,,,東森,東森,北海道旅客鉄道株式会社,函館本線,砂原支線,北海道旅客鉄道株式会社,函館本線,砂原支線,1,1,,N,,63,10,#0068B7
駅,,,,,,,,森,森,北海道旅客鉄道株式会社,函館本線,砂原支線,北海道旅客鉄道株式会社,函館本線,砂原支線,1,1,,H,,62,11,#0068B7
駅,,,,,,,,桑園,桑園,北海道旅客鉄道株式会社,札沼線,,北海道旅客鉄道株式会社,札沼線,,1,1,,S,,2,1,#E60012
駅,,,,,,,,八軒,八軒,北海道旅客鉄道株式会社,札沼線,,北海道旅客鉄道株式会社,札沼線,,1,1,,G,,3,2,#009944
駅,,,,,,,,新川,新川,北海道旅客鉄道株式会社,札沼線,,北海道旅客鉄道株式会社,札沼線,,1,1,,G,,4,3,#009944
駅,,,,,,,,新琴似,新琴似,北海道旅客鉄道株式会社,札沼線,,北海道旅客鉄道株式会社,札沼線,,1,1,,G,,5,4,#009944
駅,,,,,,,,太平,太平,北海道旅客鉄道株式会社,札沼線,,北海道旅客鉄道株式会社,札沼線,,1,1,,G,,6,5,#009944
駅,,,,,,,,百合が原,百合が原,北海道旅客鉄道株式会社,札沼線,,北海道旅客鉄道株式会社,札沼線,,1,1,,G,,7,6,#009944
駅,,,,,,,,篠路,篠路,北海道旅客鉄道株式会社,札沼線,,北海道旅客鉄道株式会社,札沼線,,1,1,,G,,8,7,#009944
駅,,,,,,,,拓北,拓北,北海道旅客鉄道株式会社,札沼線,,北海道旅客鉄道株式会社,札沼線,,1,1,,G,,9,8,#009944
駅,,,,,,,,あいの里教育大,あいの里教育大,北海道旅客鉄道株式会社,札沼線,,北海道旅客鉄道株式会社,札沼線,,1,1,,G,,10,9,#009944
駅,,,,,,,,あいの里公園,あいの里公園,北海道旅客鉄道株式会社,札沼線,,北海道旅客鉄道株式会社,札沼線,,1,1,,G,,11,10,#009944
駅,,,,,,,,石狩太美,石狩太美,北海道旅客鉄道株式会社,札沼線,,北海道旅客鉄道株式会社,札沼線,,1,1,,G,,12,11,#009944
駅,,,,,,,,石狩当別,石狩当別,北海道旅客鉄道株式会社,札沼線,,北海道旅客鉄道株式会社,札沼線,,1,1,,G,,13,12,#009944
駅,,,,,,,,北海道医療大学,北海道医療大学,北海道旅客鉄道株式会社,札沼線,,北海道旅客鉄道株式会社,札沼線,,1,1,,G,,14,13,#009944
駅,,,,,,,,石狩金沢,石狩金沢,北海道旅客鉄道株式会社,札沼線,,北海道旅客鉄道株式会社,札沼線,,1,1,,,,,14,
駅,,,,,,,,本中小屋,本中小屋,北海道旅客鉄道株式会社,札沼線,,北海道旅客鉄道株式会社,札沼線,,1,1,,,,,15,
駅,,,,,,,,中小屋,中小屋,北海道旅客鉄道株式会社,札沼線,,北海道旅客鉄道株式会社,札沼線,,1,1,,,,,16,
駅,,,,,,,,月ヶ岡,月ヶ岡,北海道旅客鉄道株式会社,札沼線,,北海道旅客鉄道株式会社,札沼線,,1,1,,,,,17,
駅,,,,,,,,知来乙,知来乙,北海道旅客鉄道株式会社,札沼線,,北海道旅客鉄道株式会社,札沼線,,1,1,,,,,18,
駅,,,,,,,,石狩月形,石狩月形,北海道旅客鉄道株式会社,札沼線,,北海道旅客鉄道株式会社,札沼線,,1,1,,,,,19,
駅,,,,,,,,豊ヶ岡,豊ヶ岡,北海道旅客鉄道株式会社,札沼線,,北海道旅客鉄道株式会社,札沼線,,1,1,,,,,20,
駅,,,,,,,,札比内,札比内,北海道旅客鉄道株式会社,札沼線,,北海道旅客鉄道株式会社,札沼線,,1,1,,,,,21,
駅,,,,,,,,晩生内,晩生内,北海道旅客鉄道株式会社,札沼線,,北海道旅客鉄道株式会社,札沼線,,1,1,,,,,22,
駅,,,,,,,,札的,札的,北海道旅客鉄道株式会社,札沼線,,北海道旅客鉄道株式会社,札沼線,,1,1,,,,,23,
駅,,,,,,,,浦臼,浦臼,北海道旅客鉄道株式会社,札沼線,,北海道旅客鉄道株式会社,札沼線,,1,1,,,,,24,
駅,,,,,,,,鶴沼,鶴沼,北海道旅客鉄道株式会社,札沼線,,北海道旅客鉄道株式会社,札沼線,,1,1,,,,,25,
駅,,,,,,,,於札内,於札内,北海道旅客鉄道株式会社,札沼線,,北海道旅客鉄道株式会社,札沼線,,1,1,,,,,26,
駅,,,,,,,,南下徳富,南下徳富,北海道旅客鉄道株式会社,札沼線,,北海道旅客鉄道株式会社,札沼線,,1,1,,,,,27,
駅,,,,,,,,下徳富,下徳富,北海道旅客鉄道株式会社,札沼線,,北海道旅客鉄道株式会社,札沼線,,1,1,,,,,28,
駅,,,,,,,,新十津川,新十津川,北海道旅客鉄道株式会社,札沼線,,北海道旅客鉄道株式会社,札沼線,,1,1,,,,,29,
駅,,,,,,,,沼ノ端,沼ノ端,北海道旅客鉄道株式会社,千歳線,,北海道旅客鉄道株式会社,千歳線,,1,1,,H,,17,1,#0068B7
駅,,,,,,,,植苗,植苗,北海道旅客鉄道株式会社,千歳線,,北海道旅客鉄道株式会社,千歳線,,1,1,,H,,16,2,#0068B7
駅,,,,,,,,美々,美々,北海道旅客鉄道株式会社,千歳線,,北海道旅客鉄道株式会社,千歳線,,1,1,,H,,15,3,#0068B7
駅,,,,,,,,南千歳,南千歳,北海道旅客鉄道株式会社,千歳線,,北海道旅客鉄道株式会社,千歳線,,1,1,,H,,14,4,#0068B7
駅,,,,,,,,千歳,千歳,北海道旅客鉄道株式会社,千歳線,,北海道旅客鉄道株式会社,千歳線,,1,1,,H,,13,5,#0068B7
駅,,,,,,,,長都,長都,北海道旅客鉄道株式会社,千歳線,,北海道旅客鉄道株式会社,千歳線,,1,1,,H,,12,6,#0068B7
駅,,,,,,,,サッポロビール庭園,サッポロビール庭園,北海道旅客鉄道株式会社,千歳線,,北海道旅客鉄道株式会社,千歳線,,1,1,,H,,11,7,#0068B7
駅,,,,,,,,恵庭,恵庭,北海道旅客鉄道株式会社,千歳線,,北海道旅客鉄道株式会社,千歳線,,1,1,,H,,10,8,#0068B7
駅,,,,,,,,恵み野,恵み野,北海道旅客鉄道株式会社,千歳線,,北海道旅客鉄道株式会社,千歳線,,1,1,,H,,9,9,#0068B7
駅,,,,,,,,島松,島松,北海道旅客鉄道株式会社,千歳線,,北海道旅客鉄道株式会社,千歳線,,1,1,,H,,8,10,#0068B7
駅,,,,,,,,北広島,北広島,北海道旅客鉄道株式会社,千歳線,,北海道旅客鉄道株式会社,千歳線,,1,1,,H,,7,11,#0068B7
駅,,,,,,,,上野幌,上野幌,北海道旅客鉄道株式会社,千歳線,,北海道旅客鉄道株式会社,千歳線,,1,1,,H,,6,12,#0068B7
駅,,,,,,,,新札幌,新札幌,北海道旅客鉄道株式会社,千歳線,,北海道旅客鉄道株式会社,千歳線,,1,1,,H,,5,13,#0068B7
駅,,,,,,,,平和,平和,北海道旅客鉄道株式会社,千歳線,,北海道旅客鉄道株式会社,千歳線,,1,1,,H,,4,14,#0068B7
駅,,,,,,,,白石,白石,北海道旅客鉄道株式会社,千歳線,,北海道旅客鉄道株式会社,千歳線,,1,1,,H,,3,15,#0068B7
駅,,,,,,,,南千歳,南千歳,北海道旅客鉄道株式会社,千歳線,空港支線,北海道旅客鉄道株式会社,千歳線,空港支線,1,1,,H,,14,1,#0068B7
駅,,,,,,,,新千歳空港,新千歳空港,北海道旅客鉄道株式会社,千歳線,空港支線,北海道旅客鉄道株式会社,千歳線,空港支線,1,1,,AP,,15,2,#00AAE8
駅,,,,,,,,南千歳,南千歳,北海道旅客鉄道株式会社,石勝線,,北海道旅客鉄道株式会社,石勝線,,1,1,,H,,14,1,#0068B7
駅,,,,,,,,追分,追分,北海道旅客鉄道株式会社,石勝線,,北海道旅客鉄道株式会社,石勝線,,1,1,,K,,15,2,#8FC31F
駅,,,,,,,,東追分,東追分,北海道旅客鉄道株式会社,石勝線,,北海道旅客鉄道株式会社,石勝線,,1,1,,K,,16,3,#8FC31F
駅,,,,,,,,川端,川端,北海道旅客鉄道株式会社,石勝線,,北海道旅客鉄道株式会社,石勝線,,1,1,,K,,17,4,#8FC31F
駅,,,,,,,,滝ノ上,滝ノ上,北海道旅客鉄道株式会社,石勝線,,北海道旅客鉄道株式会社,石勝線,,1,1,,K,,18,5,#8FC31F
駅,,,,,,,,十三里,十三里,北海道旅客鉄道株式会社,石勝線,,北海道旅客鉄道株式会社,石勝線,,1,1,,K,,19,6,#8FC31F
駅,,,,,,,,新夕張,新夕張,北海道旅客鉄道株式会社,石勝線,,北海道旅客鉄道株式会社,石勝線,,1,1,,K,,20,7,#8FC31F
駅,,,,,,,,占冠,占冠,北海道旅客鉄道株式会社,石勝線,,北海道旅客鉄道株式会社,石勝線,,1,1,,K,,21,8,#8FC31F
駅,,,,,,,,トマム,トマム,北海道旅客鉄道株式会社,石勝線,,北海道旅客鉄道株式会社,石勝線,,1,1,,K,,22,9,#8FC31F
駅,,,,,,,,新得,新得,北海道旅客鉄道株式会社,石勝線,,北海道旅客鉄道株式会社,石勝線,,1,1,,K,,23,10,#8FC31F
駅,,,,,,,,長万部,長万部,北海道旅客鉄道株式会社,室蘭本線,,北海道旅客鉄道株式会社,室蘭本線,,1,1,,H,,47,1,#0068B7
駅,,,,,,,,静狩,静狩,北海道旅客鉄道株式会社,室蘭本線,,北海道旅客鉄道株式会社,室蘭本線,,1,1,,H,,46,2,#0068B7
駅,,,,,,,,小幌,小幌,北海道旅客鉄道株式会社,室蘭本線,,北海道旅客鉄道株式会社,室蘭本線,,1,1,,H,,45,3,#0068B7
駅,,,,,,,,礼文,礼文,北海道旅客鉄道株式会社,室蘭本線,,北海道旅客鉄道株式会社,室蘭本線,,1,1,,H,,44,4,#0068B7
駅,,,,,,,,大岸,大岸,北海道旅客鉄道株式会社,室蘭本線,,北海道旅客鉄道株式会社,室蘭本線,,1,1,,H,,43,5,#0068B7
駅,,,,,,,,豊浦,豊浦,北海道旅客鉄道株式会社,室蘭本線,,北海道旅客鉄道株式会社,室蘭本線,,1,1,,H,,42,6,#0068B7
駅,,,,,,,,洞爺,洞爺,北海道旅客鉄道株式会社,室蘭本線,,北海道旅客鉄道株式会社,室蘭本線,,1,1,,H,,41,7,#0068B7
駅,,,,,,,,有珠,有珠,北海道旅客鉄道株式会社,室蘭本線,,北海道旅客鉄道株式会社,室蘭本線,,1,1,,H,,40,8,#0068B7
駅,,,,,,,,長和,長和,北海道旅客鉄道株式会社,室蘭本線,,北海道旅客鉄道株式会社,室蘭本線,,1,1,,H,,39,9,#0068B7
駅,,,,,,,,伊達紋別,伊達紋別,北海道旅客鉄道株式会社,室蘭本線,,北海道旅客鉄道株式会社,室蘭本線,,1,1,,H,,38,10,#0068B7
駅,,,,,,,,北舟岡,北舟岡,北海道旅客鉄道株式会社,室蘭本線,,北海道旅客鉄道株式会社,室蘭本線,,1,1,,H,,37,11,#0068B7
駅,,,,,,,,稀府,稀府,北海道旅客鉄道株式会社,室蘭本線,,北海道旅客鉄道株式会社,室蘭本線,,1,1,,H,,36,12,#0068B7
